,제목,저자,출판사,출판일,가격,ISBN
92,불친절한 SQL 프로그래밍 (기본 개념에서 고급 기능까지 오라클 SQL의 바이블),정희락,디비안(주)(DBian),20180910.0,39600,9791196395711
93,빅데이터 처리와 통계분석 (엑셀과 MS SQL을 활용한),변정한^이순철,컴원미디어,20170820.0,16200,9788992475792
94,국가 공인 SQL: 전문가 개발자 (한 권으로 끝내기!!),김형로^이종섭^최혜길,크라운출판사,20190110.0,22500,9788940635773
95,오라클 실무활용 SQL튜닝 2,이익,커널연구회,20120420.0,29700,9788997750047
96,MySQL 퍼포먼스 최적화 (실무 예제로 다가가는 MySQL 쿼리 작성),성동찬,한빛미디어,20140314.0,10710,9788968486289
97,생활코딩! PHP+MySQL (처음 프로그래밍을 시작하는 입문자의 눈높이에 맞춘),이고잉,위키북스,20190115.0,24300,9791158391348
98,"SQL Server: 운영편 (디비로 누리는 특별한 세상, 나의 첫 번째 데이터베이스 운영하기)",이장래,루비페이퍼,20170405.0,23400,9791186710142
99,HEAD FIRST SQL (효율적인 DB관리를 위한 SQL 학습법),린 베일리,한빛미디어,20080501.0,24300,9788979145601
0,"SQL Server: 개발편 (디비로 누리는 특별한 세상, 나의 첫 번째 데이터베이스 개발하기)",이장래,루비페이퍼,20170405.0,25200,9791186710135
1,Advanced SQL,,Lulu Press,20180716.0,112300,9780244699994
2,Head First SQL,"Beighley, Lynn",O&#39;Reilly Media,20070801.0,122220,9780596526849
3,Learning SQL,"Beaulieu, Alan",.,20090915.0,0,9780596520830
4,Expert MySQL,COMPUTER BOOKSHOPS,Apress,20121219.0,114190,9781430246596
5,Expert MySQL,"Bell, Charles A.",Springer-Verlag New York Inc,20061201.0,81540,9781590597415
6,MONGODB 완벽 가이드 (NoSQL의 진수를 만나다!),크리스티나 초도로우,한빛미디어,20110530.0,0,9788979148251
7,Hadoop NoSQL (대용량 데이터 분석 및 처리를 위한),서상원,길벗,20130103.0,0,9788966185030
8,이것이 SQL Server다 (실습으로 체험하고 바로 운영한다),우재남,한빛미디어,20160710.0,27000,9788968482922
9,SQL SERVER 2008,우재남,한빛미디어,20090310.0,0,9788979146578
10,SQL SERVER 2005,우재남,한빛미디어,20061201.0,0,9788979144468
11,Php And Mysql (For Dynamic Web Sites),"Ullman, Larry",Addison-Wesley,20210101.0,0,9780321525994
12,"이지IT의 C#, MSSQL 실무 기초",이지 IT,퍼플,20220817.0,10000,9788924099430
13,데이터베이스 시스템 개론과 MySQL 실습,이용주,홍릉,20220630.0,21780,9791156000495
14,[POD] 손에 잡히는 SQL 튜닝,김기덕,부크크(bookk),20200325.0,22000,9791127295738
15,알기쉬운 파이썬 SQL 코딩하기 (비전공자도 쉽게 배우는 SQL),정현희,크라운출판사,20230110.0,12830,9788940646052
16,MY SQL 웹 DB 프로그래밍,이상관 외,기전연구사,20040209.0,13500,9788933606520
17,데이터베이스 배움터 (MS SQL Server 기반),홍의경,생능출판,20120829.0,26190,9788970507514
18,소설처럼 읽고 실행하는 SQL (실전에서 바로 활용하는 SQL),전익진,비제이퍼블릭,20190315.0,18000,9791186697795
19,데이터베이스 개론과 SQL 실무 (MS SQL Server기반),김은영,도서출판 홍릉(홍릉과학출판사),20191220.0,25740,9791156007234
20,NoSQL & Redis,주종면,데이터북,20190310.0,28800,9788996311492
21,데이터베이스 개론과 실습 (SQL Server 2014),유재건,한성대학교출판부,20150819.0,22000,9788968200151
