,제목,저자,출판사,출판일,가격,ISBN
59,Beginning Visual Basic 2015,,Wrox Press,20151120.0,66800,9781119092117
60,PROGRAMMING IN VISUAL BASIC,,Repro Books Limited,20141101.0,49930,9789351642718
61,Visual Basic 2012 How to Program,"Deitel, Paul",Prentice Hall,20130501.0,257000,9780133406955
62,Beginning Visual Basic 2012,Bryan Newsome,WROX Press,20120831.0,66800,9781118311813
63,Visual Basic for Scientists,,Apress,20020201.0,57000,9781893115552
64,Network Programming in .Net: C# & Visual Basic .Net (WithC# and Visual Basic .NET),"Reid, Fiach",Digital Press,20040528.0,128780,9781555583156
65,VISUAL BASIC PROGRAMMING 4.0,왕지남,기한재,19960930.0,15300,9788970180779
66,Visual Basic.Net Programming,,Sybex,20020401.0,62340,9780782140385
67,Visual Basic Design Patterns (Vb 6.0 and Vb.Net),,Addison-Wesley,20011101.0,66860,9780201702651
68,VisualBASIC .Net for Dummies,,For Dummies,20011129.0,54970,9780764508677
69,VISUAL BASIC .NET PROGRAMMING,이철원,내하출판사,20080301.0,27000,9788957171820
70,Visual Basic 2008 How to Program 반양장,"Deitel, P. J./ Deitel, H. M.",Prentice-Hall,20210101.0,173740,9780136053057
71,Programming Visual Basic 2008 (Build .net 3.5 Applications With Microsoft’s Popular Rad Tool for Business),"Patrick, Tim",O&#39;Reilly Media,20080501.0,74290,9780596518431
72,Visual Basic 2005 for Psychologists,"Maclin, Otto H.",New Harbinger Pubns Inc,20210101.0,51940,9781878978592
73,Beginning Visual Basic 2005 반양장,"Willis, Thearon/ Newsome, Bryan",Wiley,20210101.0,39200,9780764574016
74,Starting Out with Visual Basic,,Pearson,20160204.0,235730,9780134400150
75,Visual Basic. Learn on Exampls,,KPT,20150131.0,43020,9785941575213
76,Visual Basic 6 from the Ground Up 반양장,"Cornell, Gary",McGraw-Hill,19980901.0,0,9780078825088
